trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,fixation.started,key_resp.started,sound_stim.started,fixation2.started,fixation.stopped,trial.stopped,trial,stim,soundFile,corrAns,respKey,rt,correct,key_resp.keys,key_resp.corr,key_resp.stopped,fixation2.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
0,0,0,0,0.03295219998108223,,0.020141199987847358,0.03295219998108223,1.014985199959483,1.0037496000295505,1.014985199959483,1.048280299990438,2.5023908999864943,0,A,C:\Users\Adyant Balaji\Downloads\nBack-20250729T003258Z-1-001\nBack\audio\A.wav,none,none,,1,,,,,685363,001,2025-07-28_17h47.54.132,2back_diagram,2024.1.5,None,2025-07-28 17h48.01.250868 -0700,
0,0,0,0,,,,,,,,,,,,,,,,,None,1,,,685363,001,2025-07-28_17h47.54.132,2back_diagram,2024.1.5,None,2025-07-28 17h48.01.250868 -0700,
1,0,1,0,2.5310576999909244,,2.5135858999565244,2.5310576999909244,3.514822400000412,1.00227709999308,3.514822400000412,3.5316244999994524,5.00320350000402,1,B,C:\Users\Adyant Balaji\Downloads\nBack-20250729T003258Z-1-001\nBack\audio\B.wav,none,none,,1,,,,,685363,001,2025-07-28_17h47.54.132,2back_diagram,2024.1.5,None,2025-07-28 17h48.01.250868 -0700,
1,0,1,0,,,,,,,,,,,,,,,,,None,1,,,685363,001,2025-07-28_17h47.54.132,2back_diagram,2024.1.5,None,2025-07-28 17h48.01.250868 -0700,
2,0,2,0,5.014890399994329,,5.004063699976541,5.014890399994329,6.014946799958125,1.0201324000372551,6.014946799958125,6.014946799958125,7.503836399991997,2,C,C:\Users\Adyant Balaji\Downloads\nBack-20250729T003258Z-1-001\nBack\audio\C.wav,none,none,,1,,,,,685363,001,2025-07-28_17h47.54.132,2back_diagram,2024.1.5,None,2025-07-28 17h48.01.250868 -0700,
2,0,2,0,,,,,,,,,,,,,,,,,None,1,,,685363,001,2025-07-28_17h47.54.132,2back_diagram,2024.1.5,None,2025-07-28 17h48.01.250868 -0700,
3,0,3,0,7.515078599972185,,7.504786200006492,7.515078599972185,8.515238699968904,1.0001018000184558,8.515238699968904,8.515238699968904,10.000330399954692,3,C,C:\Users\Adyant Balaji\Downloads\nBack-20250729T003258Z-1-001\nBack\audio\C.wav,none,none,,1,,,,,685363,001,2025-07-28_17h47.54.132,2back_diagram,2024.1.5,None,2025-07-28 17h48.01.250868 -0700,
3,0,3,0,,,,,,,,,,,,,,,,,None,1,,,685363,001,2025-07-28_17h47.54.132,2back_diagram,2024.1.5,None,2025-07-28 17h48.01.250868 -0700,
4,0,4,0,10.015459499962162,,10.001187399961054,10.015459499962162,11.015531399985775,1.0031217000214383,11.015531399985775,11.015531399985775,12.503177199978381,4,A,C:\Users\Adyant Balaji\Downloads\nBack-20250729T003258Z-1-001\nBack\audio\A.wav,none,none,,1,,,,,685363,001,2025-07-28_17h47.54.132,2back_diagram,2024.1.5,None,2025-07-28 17h48.01.250868 -0700,
4,0,4,0,,,,,,,,,,,,,,,,,None,1,,,685363,001,2025-07-28_17h47.54.132,2back_diagram,2024.1.5,None,2025-07-28 17h48.01.250868 -0700,
5,0,5,0,12.514873899985105,,12.503865099977702,12.514873899985105,13.514754600008018,1.0029018000350334,13.514754600008018,13.514754600008018,15.003750499978196,5,A,C:\Users\Adyant Balaji\Downloads\nBack-20250729T003258Z-1-001\nBack\audio\A.wav,none,none,,1,,,,,685363,001,2025-07-28_17h47.54.132,2back_diagram,2024.1.5,None,2025-07-28 17h48.01.250868 -0700,
5,0,5,0,,,,,,,,,,,,,,,,,None,1,,,685363,001,2025-07-28_17h47.54.132,2back_diagram,2024.1.5,None,2025-07-28 17h48.01.250868 -0700,
6,0,6,0,15.01484039996285,,15.004663900006562,15.01484039996285,16.014441399951465,0.9997719000093639,16.014441399951465,16.014441399951465,17.498595899960492,6,D,C:\Users\Adyant Balaji\Downloads\nBack-20250729T003258Z-1-001\nBack\audio\D.wav,none,none,,1,,,17.514330099977087,17.514330099977087,685363,001,2025-07-28_17h47.54.132,2back_diagram,2024.1.5,None,2025-07-28 17h48.01.250868 -0700,
6,0,6,0,,,,,,,,,,,,,,,,,None,1,,,685363,001,2025-07-28_17h47.54.132,2back_diagram,2024.1.5,None,2025-07-28 17h48.01.250868 -0700,
,,,,17.514330099977087,,17.498807600000873,17.514330099977087,,,,,,,,,,,,,,,,,,,,,,,,
